START
0.6585|0.0211|0.7053|0.0029|0.7313|0.0043|0.7559|0.0059|0.6296|0.0005|0.6018|0.0001|0.5762|0.0|0.7801|0.021|0.5324|0.0139|0.6988|0.0491|0.5991|0.0448|0.9447|0.1601|0.3055|0.1445|1.0|0.332|0.149|0.3145|0.9758|0.4743|0.0488|0.4549|0.9704|0.5261|0.0|0.5022|0.9152|0.5208|0.0342|0.5041|0.9047|0.5067|0.0688|0.4893|0.7274|0.4761|0.3616|0.4572|0.6756|0.7147|0.3174|0.6889|0.6634|0.9219|0.2828|0.8863|0.5897|0.9397|0.3076|0.9159|0.7354|1.0|0.0729|0.9529|
0.6592|0.0214|0.7066|0.0032|0.733|0.0047|0.7573|0.0064|0.6306|0.0006|0.6032|0.0002|0.5764|0.0|0.7821|0.0218|0.5314|0.0141|0.6995|0.0497|0.5984|0.0452|0.9461|0.1607|0.3009|0.1456|1.0|0.3316|0.1441|0.3163|0.9745|0.4734|0.0479|0.4553|0.9691|0.5216|0.0|0.5021|0.912|0.5187|0.0504|0.5047|0.903|0.5025|0.0736|0.4893|0.727|0.4773|0.3611|0.4626|0.6782|0.7164|0.3174|0.6937|0.6691|0.9223|0.2842|0.8859|0.6052|0.9412|0.3092|0.916|0.7419|1.0|0.0894|0.9511|
0.663|0.0205|0.7075|0.0026|0.7339|0.004|0.7573|0.0054|0.6321|0.0004|0.605|0.0001|0.5779|0.0|0.7791|0.0205|0.5319|0.0138|0.7021|0.0482|0.602|0.0444|0.9442|0.1594|0.3007|0.1446|1.0|0.3309|0.1452|0.3157|0.9762|0.4721|0.0491|0.4557|0.9745|0.5215|0.0|0.5036|0.9169|0.5183|0.0362|0.5057|0.9072|0.5019|0.0719|0.4903|0.7285|0.4756|0.3596|0.4563|0.6758|0.7171|0.3166|0.6904|0.6616|0.921|0.2821|0.8848|0.6004|0.9408|0.3079|0.9142|0.7351|1.0|0.0675|0.9519|
0.6647|0.0207|0.7088|0.0032|0.7352|0.0047|0.7586|0.0062|0.6337|0.0006|0.6066|0.0002|0.5796|0.0|0.7805|0.0216|0.5317|0.014|0.7032|0.0488|0.6029|0.0444|0.9447|0.1588|0.2997|0.1441|1.0|0.3311|0.147|0.3149|0.9768|0.4737|0.0491|0.4567|0.9752|0.5228|0.0|0.5041|0.9246|0.5196|0.0379|0.5063|0.9066|0.5032|0.0733|0.4912|0.7301|0.4754|0.3627|0.4566|0.6717|0.7198|0.3147|0.6927|0.6616|0.9217|0.2818|0.8851|0.6019|0.941|0.3076|0.9138|0.7381|1.0|0.0697|0.9516|
0.6667|0.0204|0.7102|0.0025|0.7365|0.0039|0.7596|0.0053|0.6345|0.0003|0.6071|0.0|0.5792|0.0|0.7805|0.0206|0.5299|0.0143|0.7045|0.0484|0.6042|0.0445|0.9449|0.1593|0.298|0.1439|1.0|0.3304|0.1424|0.3141|0.9766|0.4713|0.0492|0.4556|0.9755|0.5206|0.0|0.5027|0.9259|0.518|0.0486|0.5055|0.9083|0.5014|0.0717|0.4902|0.7311|0.47|0.3639|0.4568|0.6766|0.7175|0.3207|0.6925|0.6664|0.9228|0.2832|0.8852|0.6068|0.9419|0.3084|0.9143|0.7453|1.0|0.0751|0.9517|
0.6614|0.0211|0.7063|0.0029|0.7326|0.0042|0.7562|0.0057|0.631|0.0005|0.604|0.0001|0.5768|0.0|0.7779|0.0204|0.5292|0.014|0.6998|0.0491|0.601|0.0448|0.9406|0.1592|0.2967|0.1449|1.0|0.3298|0.1419|0.3152|0.9749|0.4684|0.0488|0.4543|0.9755|0.5182|0.0|0.5009|0.9179|0.515|0.0346|0.5031|0.9075|0.4985|0.0703|0.4881|0.7302|0.4745|0.3648|0.4617|0.6764|0.7176|0.3266|0.6975|0.6681|0.9209|0.2883|0.8847|0.6107|0.9401|0.3116|0.9161|0.7405|1.0|0.0747|0.9509|
0.6623|0.0216|0.7068|0.0029|0.7333|0.0042|0.7565|0.0056|0.6309|0.0006|0.6033|0.0002|0.5755|0.0|0.7796|0.0205|0.527|0.014|0.7011|0.0498|0.6006|0.0459|0.9432|0.1592|0.296|0.1443|1.0|0.3304|0.1416|0.3166|0.9719|0.471|0.0478|0.456|0.9705|0.5202|0.0|0.5021|0.9132|0.5175|0.0338|0.5041|0.9031|0.501|0.0685|0.4895|0.7259|0.476|0.3588|0.4574|0.6742|0.7172|0.3223|0.6934|0.6613|0.9203|0.2853|0.8847|0.6023|0.9399|0.3267|0.915|0.7428|1.0|0.0695|0.9524|
0.6695|0.0206|0.7115|0.0029|0.7375|0.0043|0.7597|0.0058|0.6367|0.0004|0.6097|0.0001|0.5814|0.0|0.7804|0.0207|0.5306|0.0143|0.7065|0.049|0.6076|0.0447|0.9413|0.1598|0.2998|0.1443|1.0|0.3301|0.1443|0.3151|0.9736|0.4706|0.0491|0.454|0.9714|0.52|0.0|0.5006|0.9142|0.517|0.034|0.5026|0.9041|0.5007|0.069|0.4878|0.7301|0.4756|0.3642|0.4627|0.6746|0.7172|0.3229|0.693|0.664|0.9202|0.2922|0.8853|0.6069|0.9392|0.3346|0.9154|0.7437|1.0|0.0734|0.9523|
0.6671|0.0207|0.7104|0.0025|0.7368|0.0039|0.7593|0.0053|0.6353|0.0004|0.6086|0.0001|0.5807|0.0|0.7832|0.0205|0.5323|0.0138|0.7047|0.049|0.6063|0.045|0.9432|0.1613|0.3001|0.1428|1.0|0.3317|0.1455|0.3151|0.9729|0.4719|0.0478|0.4555|0.9712|0.5214|0.0|0.502|0.9123|0.5182|0.0337|0.5043|0.902|0.5018|0.0683|0.4895|0.7253|0.4771|0.362|0.4634|0.6768|0.7195|0.3195|0.6976|0.6638|0.9222|0.2859|0.8861|0.6047|0.9415|0.3142|0.9182|0.745|1.0|0.0742|0.953|
END
